time,id,x,y,orientation,velocity,acceleration,length,width
0,656,48.6235,-42.1133,-0.7305,3.96095831996502,0,4.1148,2.5603
1,656,48.913825,-42.38275,-0.7305,3.96095831996502,39.6095831996502,4.1148,2.5603
2,656,49.20415,-42.6522,-0.7305,3.96095831996497,-5.24025267623074E-13,4.1148,2.5603
3,656,49.494475,-42.92165,-0.7305,3.96095831996497,0,4.1148,2.5603
4,656,49.7848,-43.1911,-0.7305,3.96095831996502,5.24025267623074E-13,4.1148,2.5603
5,656,50.08365,-43.45575,-0.7305,3.99187856779235,0.309202478273276,4.1148,2.5603
6,656,50.3825,-43.7204,-0.7305,3.99187856779239,4.75175454539567E-13,4.1148,2.5603
7,656,50.68135,-43.98505,-0.7305,3.99187856779239,0,4.1148,2.5603
8,656,50.9802,-44.2497,-0.7305,3.99187856779235,-4.75175454539567E-13,4.1148,2.5603
9,656,51.28685,-44.5186,-0.7305,4.0784976707116,0.866191029192556,4.1148,2.5603
10,656,51.5935,-44.7875,-0.7305,4.07849767071161,5.32907051820075E-14,4.1148,2.5603
11,656,51.90015,-45.0564,-0.7305,4.0784976707116,-5.32907051820075E-14,4.1148,2.5603
12,656,52.2068,-45.3253,-0.7305,4.0784976707116,0,4.1148,2.5603
13,656,52.515475,-45.60145,-0.7305,4.1417276362045,0.632299654928969,4.1148,2.5603
14,656,52.82415,-45.8776,-0.7305,4.1417276362045,0,4.1148,2.5603
15,656,53.132825,-46.15375,-0.7305,4.14172763620445,-5.24025267623074E-13,4.1148,2.5603
16,656,53.4415,-46.4299,-0.7305,4.1417276362045,5.24025267623074E-13,4.1148,2.5603
17,656,53.75035,-46.707725,-0.7305,4.15421536664867,0.124877304441728,4.1148,2.5603
18,656,54.0592,-46.98555,-0.7305,4.15421536664873,5.32907051820075E-13,4.1148,2.5603
19,656,54.36805,-47.263375,-0.7305,4.15421536664867,-5.32907051820075E-13,4.1148,2.5603
20,656,54.6769,-47.5412,-0.7305,4.15421536664867,0,4.1148,2.5603
21,656,54.9833,-47.816825,-0.7305,4.12128742779482,-0.329279388538506,4.1148,2.5603
22,656,55.2897,-48.09245,-0.7305,4.12128742779488,5.32907051820075E-13,4.1148,2.5603
23,656,55.5961,-48.368075,-0.7305,4.12128742779492,4.79616346638068E-13,4.1148,2.5603
24,656,55.9025,-48.6437,-0.7305,4.12128742779482,-1.01252339845814E-12,4.1148,2.5603
25,656,56.2088,-48.9206,-0.7305,4.12908343340261,0.0779600560778704,4.1148,2.5603
